Test,Time
209,0.003
210,0.002
211,0.002
212,0.002
213,0.002
214,0.003
215,0.003
216,0.002
217,0.002
218,0.003
219,0.002
220,0.002
221,0.002
222,0.002
223,0.003
224,0.002
225,0.002
226,0.002
227,0.003
228,0.002
229,0.002
230,0.002
231,0.003
232,0.002
233,0.002
234,0.002
235,0.003
236,0.002
237,0.002
238,0.003
239,0.002
240,0.002
241,0.002
242,0.003
243,0.002
244,0.002
245,0.002
246,0.003
247,0.002
248,0.002
249,0.002
250,0.002
251,0.003
252,0.002
253,0.002
254,0.003
255,0.002
256,0.002
257,0.002
258,0.002
259,0.003
260,0.002
261,0.002
262,0.002
263,0.002
264,0.003
265,0.002
266,0.002
267,0.002
268,0.002
269,0.003
270,0.002
271,0.002
272,0.002
273,0.003
274,0.002
275,0.002
276,0.002
277,0.003
278,0.002
279,0.002
280,0.002
281,0.002
282,0.003
283,0.002
284,0.002
285,0.003
286,0.002
287,0.002
288,0.002
289,0.003
290,0.002
291,0.002
292,0.002
293,0.002
294,0.003
295,0.002
296,0.002
297,0.002
298,0.002
299,0.002
300,0.003
301,0.002
302,0.002
303,0.002
304,0.003
305,0.002
306,0.002
307,0.002
308,0.003
309,0.002
310,0.002
311,0.002
312,0.003
313,0.002
314,0.002
315,0.002
316,0.003
317,0.002
318,0.002
319,0.003
320,0.002
321,0.002
322,0.002
323,0.002
324,0.003
325,0.002
326,0.002
327,0.002
328,0.002
329,0.002
330,0.003
331,0.002
332,0.002
333,0.003
334,0.003
335,0.002
336,0.002
337,0.002
338,0.002
339,0.003
340,0.002
341,0.002
342,0.002
343,0.003
344,0.002
345,0.002
346,0.002
347,0.003
348,0.002
349,0.002
350,0.002
351,0.002
352,0.002
353,0.003
354,0.002
355,0.002
356,0.002
357,0.003
358,0.002
359,0.002
360,0.002
361,0.002
362,0.003
363,0.002
364,0.002
365,0.002
366,0.003
367,0.002
368,0.002
369,0.002
370,0.002
371,0.002
372,0.002
373,0.003
374,0.002
375,0.002
376,0.003
377,0.002
378,0.002
379,0.002
380,0.002
381,0.003
382,0.002
383,0.002
384,0.003
385,0.002
386,0.002
387,0.002
388,0.002
389,0.002
390,0.003
391,0.002
392,0.002
393,0.002
394,0.002
395,0.003
396,0.002
397,0.002
398,0.003
399,0.002
400,0.002
401,0.002
402,0.003
403,0.003
404,0.002
405,0.002
406,0.003
407,0.003
408,0.002
409,0.002
410,0.003
411,0.002
412,0.002
413,0.002
414,0.003
415,0.002
416,0.002
417,0.003
418,0.002
419,0.002
420,0.002
421,0.003
422,0.002
423,0.003
424,0.002
425,0.002
426,0.002
427,0.002
428,0.002
429,0.003
430,0.002
431,0.002
432,0.002
433,0.002
434,0.002
435,0.003
436,0.002
437,0.002
438,0.002
439,0.002
440,0.003
441,0.002
442,0.002
443,0.002
444,0.002
445,0.002
446,0.002
447,0.003
448,0.002
449,0.003
450,0.002
451,0.002
452,0.002
453,0.002
454,0.002
455,0.003
456,0.002
457,0.002
458,0.003
459,0.002
460,0.002
461,0.002
462,0.002
463,0.003
464,0.002
465,0.002
466,0.002
467,0.002
468,0.002
469,0.002
470,0.003
471,0.002
472,0.002
473,0.002
474,0.002
475,0.002
476,0.004
477,0.002
478,0.002
479,0.001
480,0.004
481,0.002
482,0.002
483,0.002
484,0.003
485,0.002
486,0.002
487,0.002
488,0.003
489,0.002
490,0.002
491,0.002
492,0.002
493,0.003
494,0.002
495,0.002
496,0.002
497,0.003
498,0.002
499,0.002
500,0.002
501,0.002
502,0.002
503,0.002
504,0.003
505,0.002
506,0.002
507,0.002
508,0.003
509,0.002
510,0.002
511,0.002
